lcns_no,addr
19960370245,경기도 양주시 백석읍 양주산성로 561
19960372126,경기도 포천시 일동면 기산서길 3-1
19960372317,경기도 포천시 영북면 산정호수로 402
19960372318,경기도 포천시 영북면 산정호수로 402
19960383019,강원특별자치도 원주시 신림면 다리실2길 32(본건물)
19960383140,강원특별자치도 원주시 천사로 39(1층 단계동)
19960394001,강원특별자치도 홍천군 북방면 도사곡길 223
19960396005,강원특별자치도 영월군 영월읍 하송안길 65(영월동강한우)
19960399099,강원특별자치도 철원군 서면 와수로 170
19960433032,"충청북도 충주시 호암수청1로 55(1층 107호,108호 호암동)"
19960433106,충청북도 충주시 대가미15길 6(1층 교현동)
19960445186,충청북도 음성군 금왕읍 무극로 200
19960481025,전북특별자치도 전주시 덕진구 송천중앙로 33(덕진동2가)
19960481295,전북특별자치도 전주시 덕진구 명륜3길 20(덕진동1가)
19960509749,전남광주통합특별시 순천시 서면 호남고속도로 3(1층)
19960516047,전남광주통합특별시 곡성군 겸면 호남고속도로 49
19960536266,경상북도 포항시 북구 삼흥로 20(장성동)
19960554124,경상북도 영주시 풍기읍 인삼로 15
19960560299,경상북도 경산시 진량읍 선항5길 26
19960566125,경상북도 영덕군 병곡면 동해대로 7765
19960571091,경상북도 예천군 예천읍 시장로 61
