addr,lat,lng
강원특별자치도 강릉시 범일로 457 (내곡동),37.729052,128.878440
강원특별자치도 강릉시 범일로 505,37.732985,128.878795
강원특별자치도 강릉시 범일로 505 (내곡동),37.732985,128.878795
강원특별자치도 강릉시 범일로 597 5호,37.740938,128.879971
강원특별자치도 강릉시 범일로 625,37.743123,128.881352
강원특별자치도 강릉시 범일로 629,37.743358,128.881784
강원특별자치도 강릉시 범일로 631 (내곡동),37.743509,128.881863
강원특별자치도 강릉시 범일로 644 (내곡동),37.744024,128.883197
강원특별자치도 강릉시 범일로 663 (내곡동),37.745438,128.884660
강원특별자치도 강릉시 범일로 681-6,37.746189,128.886326
강원특별자치도 강릉시 보래미길 29 (포남동),37.772650,128.909024
강원특별자치도 강릉시 보래미하길41번길 8 (포남동),37.773599,128.910602
강원특별자치도 강릉시 사임당로 113-3,37.754977,128.865507
"강원특별자치도 강릉시 사임당로 131, 2동 109호",37.756519,128.865654
강원특별자치도 강릉시 사임당로 131-1 107호,37.756402,128.865127
강원특별자치도 강릉시 사임당로 143,37.757519,128.865438
강원특별자치도 강릉시 사임당로107번길 7-10 (홍제동),37.754061,128.864398
강원특별자치도 강릉시 사임당로61번길 18(홍제동),37.751666,128.860098
강원특별자치도 강릉시 사천면 동해대로 3566,37.804303,128.861694
강원특별자치도 강릉시 사천면 동해대로 3957,37.836160,128.844213
강원특별자치도 강릉시 사천면 미노길 56-1,37.822548,128.849377
강원특별자치도 강릉시 사천면 방동길 43,37.817292,128.855827
강원특별자치도 강릉시 사천면 중앙서로 357,37.800985,128.829008
강원특별자치도 강릉시 사천면 진리항구1길 36,37.837848,128.874815
강원특별자치도 강릉시 사천면 진리항구길 2,37.835078,128.872581
강원특별자치도 강릉시 사천면 진리항구길 35,37.836268,128.875239
강원특별자치도 강릉시 사천면 진리항구길 49,37.837468,128.875400
강원특별자치도 강릉시 사천면 진리항구길 51,37.837598,128.875398
강원특별자치도 강릉시 사천면 진리해변길 113,37.841380,128.875156
강원특별자치도 강릉시 사천면 진리해변길 123,37.841887,128.874485
강원특별자치도 강릉시 사천면 진리해변길 131,37.842461,128.873765
강원특별자치도 강릉시 사천면 진리해변길 133,37.842597,128.873662
강원특별자치도 강릉시 사천면 진리해변길 59-1,37.838340,128.875207
강원특별자치도 강릉시 사천면 진리해변길 67,37.838386,128.876166
강원특별자치도 강릉시 사천면 진리해변길 68-11,37.837561,128.877079
강원특별자치도 강릉시 사천면 진리해변길 68-14,37.837811,128.876204
강원특별자치도 강릉시 사천면 진리해변길 68-9,37.837735,128.876824
강원특별자치도 강릉시 사천면 진리해변길 75,37.838794,128.876282
강원특별자치도 강릉시 사천면 진리해변길 85,37.839579,128.876735
강원특별자치도 강릉시 사천면 해안로 1107,37.846857,128.866898
강원특별자치도 강릉시 사천면 해안로 1121-131,37.843175,128.856656
강원특별자치도 강릉시 사천면 해안로 1121-133,37.843414,128.856735
"강원특별자치도 강릉시 사천면 해안로 1121-133, 1층",37.843414,128.856735
강원특별자치도 강릉시 산양길 74 (포남동),37.780101,128.909335
강원특별자치도 강릉시 산양길 8-1 1층,37.777210,128.915266
강원특별자치도 강릉시 산양큰길22번길 49 (포남동),37.780427,128.918139
강원특별자치도 강릉시 새냉이길27번길 4 (홍제동),37.752072,128.883201
강원특별자치도 강릉시 선수촌로 134 (유천동),37.762997,128.870385
강원특별자치도 강릉시 선수촌로 79-15,37.757811,128.868733
강원특별자치도 강릉시 선수촌로 79-19,37.757831,128.868065
강원특별자치도 강릉시 선수촌로63번길 14-13,37.757499,128.868812
"강원특별자치도 강릉시 선수촌로63번길 14-9, 1층 (홍제동)",37.757180,128.868823
강원특별자치도 강릉시 선수촌로63번길 18-10,37.757181,128.868649
강원특별자치도 강릉시 선수촌로63번길 18-15,37.757840,128.868371
"강원특별자치도 강릉시 선수촌로63번길 18-15, 푸르벨라 2차 1층 101호 (홍제동)",37.757840,128.868371
강원특별자치도 강릉시 선수촌로63번길 18-9 (홍제동),37.757184,128.868339
강원특별자치도 강릉시 선수촌로63번길 22-5,37.756883,128.867887
"강원특별자치도 강릉시 선수촌로63번길 26-10, 2호 (홍제동)",37.757168,128.867704
강원특별자치도 강릉시 선수촌로63번길 30-10,37.757155,128.867197
강원특별자치도 강릉시 선수촌로63번길 30-14 1층,37.757478,128.867193
강원특별자치도 강릉시 선수촌로63번길 30-7,37.757013,128.866895
강원특별자치도 강릉시 성덕로 105 (병산동),37.765159,128.940488
강원특별자치도 강릉시 성덕로 107 (병산동),37.764967,128.940337
강원특별자치도 강릉시 성덕로 143,37.762762,128.937137
"강원특별자치도 강릉시 성덕로 336, 가동 1층 101호",37.752913,128.920347
강원특별자치도 강릉시 성덕로 97 (병산동),37.765522,128.940997
강원특별자치도 강릉시 성덕포남로 103(입암동),37.762796,128.915037
강원특별자치도 강릉시 성덕포남로 174번길 35,37.769355,128.912760
강원특별자치도 강릉시 성덕포남로 46 (입암동),37.759332,128.920057
강원특별자치도 강릉시 성덕포남로 53,37.759670,128.918952
강원특별자치도 강릉시 성덕포남로 56,37.760113,128.919065
강원특별자치도 강릉시 성덕포남로 56 (입암동),37.760113,128.919065
강원특별자치도 강릉시 성덕포남로 64,37.760472,128.918667
강원특별자치도 강릉시 성덕포남로 64 (입암동),37.760472,128.918667
강원특별자치도 강릉시 성덕포남로 66 (입암동),37.760763,128.918475
강원특별자치도 강릉시 성덕포남로 70,37.761651,128.918089
강원특별자치도 강릉시 성덕포남로152번길 16 (포남동),37.766638,128.912994
강원특별자치도 강릉시 성덕포남로168번길 47 (포남동),37.769375,128.914381
"강원특별자치도 강릉시 성덕포남로174번길 3, 1층",37.767851,128.909756
"강원특별자치도 강릉시 성덕포남로174번길 46, 101호 (포남동)",37.769652,128.913957
강원특별자치도 강릉시 성덕포남로182번길 20,37.768957,128.910897
강원특별자치도 강릉시 성덕포남로182번길 41 (포남동),37.770053,128.912746
강원특별자치도 강릉시 성덕포남로182번길 42 (포남동),37.769749,128.912931
강원특별자치도 강릉시 성덕포남로182번길 46 (포남동),37.770036,128.913341
강원특별자치도 강릉시 성덕포남로188번길 10,37.768848,128.909313
강원특별자치도 강릉시 성덕포남로188번길 13,37.769231,128.909600
강원특별자치도 강릉시 성덕포남로188번길 27 (포남동),37.769802,128.910945
강원특별자치도 강릉시 성덕포남로188번길 34,37.769908,128.911806
강원특별자치도 강릉시 성덕포남로188번길 34 (포남동),37.769908,128.911806
강원특별자치도 강릉시 성덕포남로188번길 6,37.768612,128.908953
강원특별자치도 강릉시 성덕포남로188번길 9,37.769015,128.909128
강원특별자치도 강릉시 성덕포남로200번길 6,37.769531,128.907988
강원특별자치도 강릉시 성산면 구산길 31,37.717815,128.832199
강원특별자치도 강릉시 성산면 구산길 32,37.717900,128.831907
강원특별자치도 강릉시 성산면 구산길 39,37.717077,128.831841
강원특별자치도 강릉시 성산면 구산길 83,37.714523,128.828071
강원특별자치도 강릉시 성산면 구산길 85,37.714487,128.827781
강원특별자치도 강릉시 성산면 구산길 92,37.714634,128.827182
강원특별자치도 강릉시 성산면 대관령옛길 119,37.711362,128.797054
강원특별자치도 강릉시 성산면 대관령옛길 127,37.710866,128.796835
강원특별자치도 강릉시 성산면 대관령옛길 129,37.710658,128.796626
강원특별자치도 강릉시 성산면 백두대간로 2713-4,37.709485,128.821553
강원특별자치도 강릉시 성산면 백두대간로 2775-19,37.714857,128.824486
강원특별자치도 강릉시 성산면 사임당로107번길 89,37.757904,128.858457
