name,addr,kind
삼학집,전남광주 여수시 이순신광장로 200-3,음식점
구르미머무는,전남광주 장성군 진원면 불태3로 168,카페
구름숲아토리,전남광주 진도군 의신면 의신사천길 26,카페
완주옥,전북 군산시 큰샘길 42,음식점
경방루,전북 남원시 광한북로 29,음식점
아서원1920 전주본점,전북 전주시 덕진구 송천중앙로 225 파인트리몰 3층,음식점
진주식당,제주 서귀포시 태평로 353 진주식당,음식점
어머니빵집,제주 제주시 도령로 103 연동한일시티파크(분점 없이 이 매장 한곳뿐입니다),카페
청운식당,충남 공주시 의당면 의당로 321-8,음식점
오능이샤브백숙,충남 아산시 음봉면 음봉로401번길 5 1층 오능이샤브백숙,음식점
예산백년밥상,충남 예산군 예산읍 벚꽃로 80,음식점
카페 루나마켓,충북 영동군 황간면 석천길 16-43 1층 루나마켓,카페
잠봉집,충북 음성군 맹동면 용두2길 6 101호,음식점
큰곰집,충북 음성군 음성읍 음성로 553,음식점
청풍마늘떡갈비,충북 제천시 금성면 청풍호로 1643,음식점
계절산책,충북 제천시 송학면 도화로 38-9,카페
신궁전,충북 진천군 덕산읍 용몽2길 34,음식점
술나발 충북대본점,충북 청주시 서원구 내수동로114번길 36 1층,BAR
부모산가든 청주본점,충북 청주시 흥덕구 2순환로1167번길 25,음식점
강서추어탕,충북 청주시 흥덕구 가로수로 1142,음식점
수암골 연어 곳간,충북 청주시 흥덕구 대농로 39 LK트리플렉스 B동 1층 연어곳간,음식점
스탠다드,충북 청주시 흥덕구 천석로66번길 16 1층,음식점
